Reference Product,Our SKU,Our Price (inc VAT),Haven Timber,Charltons Timber,Fountain Forestry,B&Q,Amazon,Cheapest Competitor,Our Position,Price Gap %,Our Differentiator,Action Needed,Last Checked,Source/URL
5'6" Featheredge Panel 6ft,FEN-PNL-FE-1800,,,,,,,,,,,,,
Sleeper (New Treated) 2.4m,TIM-SLP-NT-2400,,,,,,,,,,,,,
Postcrete 20kg,TIM-FX-POSTCRETE,,,,,,,,,,,,,
Fence Post 75x75mm 2.4m,TIM-SW-T-075-2400,9.99,,,,,,,,True 75mm section vs 63mm,,,,
Fence Post 100x100mm 3m,TIM-SW-T-100-3000,23.99,,,,,,,,True 100mm section,,,,
Decking Board Standard 3.6m,DEC-BRD-STD-3600,,,,,,,,,,,,,
Gravel Board 6ft,FEN-GRV-1800,,,,,,,,,,,,,
Arris Rail 3.6m,FEN-ARL-3600,,,,,,,,,,,,,
Trellis Panel 6x1ft,FEN-TRL-1800-300,,,,,,,,,,,,,
Fence Panel Caps (pack),FEN-CAP-PACK,,,,,,,,,High margin add-on,,,,

INSTRUCTIONS:
1. Check competitor prices WEEKLY for reference products
2. Record the date and source (URL or in-store visit) for every price
3. Our Position: CHEAPEST / COMPETITIVE (within 5%) / MID-RANGE / EXPENSIVE (>15% above cheapest)
4. Action Needed: NONE / REVIEW PRICE / UPDATE DIFFERENTIATOR / ADD TO MARKETING
5. Focus on the story: WHY are we different even when price is similar or higher?
